front_hooks,word,back_hooks,alphagram,definition
,DROPSEEDS,,DDEEOPRSS,"DROPSEED, a type of grass [n]"
,DRUMMINGS,,DGIMMNRSU,"DRUMMING, the act of beating a drum [n]"
,DUALISING,,ADGIILNSU,"DUALISE, to dualize (to make twofold) [v]"
,DUATHLETE,s,ADEEHLTTU,[n -S]
,DUATHLONS,,ADHLNOSTU,"DUATHLON, a long-distance race involving running and bicycling [n]"
,DUBBINING,,BBDGIINNU,"DUBBIN, to apply dubbing to leather [v]"
,DUCKISHES,,CDEHIKSSU,"DUCKISH, dusk [n]"
,DUELLINGS,,DEGILLNSU,"DUELLING, dueling (a contest between two persons with deadly weapons) [n]"
,DUMBSHOWS,,BDHMOSSUW,"DUMBSHOW, a presentation in which communication is solely by signs and gestures [n]"
,DUMBSIZED,,BDDEIMSUZ,"DUMBSIZE, to reduce the workforce so low that work cannot be done effectively [v]"
,DUMBSIZES,,BDEIMSSUZ,"DUMBSIZE, to reduce the workforce so low that work cannot be done effectively [v]"
,DUNGHEAPS,,ADEGHNPSU,"DUNGHEAP, a dunghill (a heap of manure) [n]"
,DUSTBALLS,,ABDLLSSTU,"DUSTBALL, a ball of dust [n]"
,DUSTCARTS,,ACDRSSTTU,"DUSTCART, a garbage truck [n]"
,DYSLALIAS,,AADILLSSY,"DYSLALIA, the inability to articulate speech [n]"
,ECDYSISES,,CDEEISSSY,"ECDYSIS, the shedding of an outer layer of skin [n]"
,ECHINUSES,,CEEHINSSU,"ECHINUS, an echinoid (a spiny marine animal) [n]"
,ECOTOPIAS,,ACEIOOPST,"ECOTOPIA, an ecologically ideal region or form of society [n]"
,ECOTOURED,,CDEEOORTU,ECOTOUR [v]
,ECPHRASES,,ACEEHPRSS,ECPHRASIS [n]
,ECPHRASIS,,ACEHIPRSS,[n ECPHRASES]
,ECTOGENES,,CEEEGNOST,"ECTOGENE, a gene involved in the development of an embryo in artificial conditions [n]"
,EGOTIZING,,EGGIINOTZ,"EGOTIZE, to talk and think about oneself excessively [v]"
,EKPHRASES,,AEEHKPRSS,EKPHRASIS [n]
,EKPHRASIS,,AEHIKPRSS,[n EKPHRASES]
,ELASTANES,,AAEELNSST,"ELASTANE, spandex (a synthetic elastic fiber) [n]"
,ELBOWINGS,,BEGILNOSW,"ELBOWING, the act of fouling an opponent with an elbow (a joint of the arm) [n]"
,ELDORADOS,,ADDELOORS,"ELDORADO, a place of great abundance [n]"
,ENACTIONS,,ACEINNOST,"ENACTION, the action of enacting [n]"
,ENERGISER,s,EEEGINRRS,[n -S] / ENERGISE [adj]
,ENJAMBING,,ABEGIJMNN,"ENJAMB, to continue a sentence from one line of a poem to the next [v]"
,ENQUIRERS,,EEINQRRSU,"ENQUIRER, one that inquires (to ask about) [n]"
,EPATERING,,AEEGINPRT,"EPATER, to shock complacent people [v]"
,EPICENTRE,s,CEEEINPRT,[n -S]
,ERYNGIUMS,,EGIMNRSUY,"ERYNGIUM, a plant of the parsley family [n]"
,ETHERISED,,DEEEHIRST,"ETHERISE, to etherize (to treat with ether) [v]"
,ETHERISES,,EEEHIRSST,"ETHERISE, to etherize (to treat with ether) [v]"
,EUROLANDS,,ADELNORSU,"EUROLAND, the eurozone (the area formed by the countries using the euro) [n]"
,EUROZONES,,EENOORSUZ,"EUROZONE, the area formed by the countries using the euro [n]"
,EVENTINGS,,EEGINNSTV,"EVENTING, an equestrian competition [n]"
,EXOPLANET,s,AEELNOPTX,[n -S]
,EXTREMUMS,,EEMMRSTUX,"EXTREMUM, a maximum or a minimum of a mathematical function [n]"
,EXTROPIES,,EEIOPRSTX,"EXTROPY, the prediction that human intelligence will enable life to expand throughout the universe [n]"
,EYELETING,,EEEGILNTY,"EYELET, to make a small hole in [v]"
,FABRIQUES,,ABEFIQRSU,"FABRIQUE, a parish group that deals with church property [n]"
,FABULISMS,,ABFILMSSU,"FABULISM, the placing of fantastical elements into everyday settings [n]"
,FACETINGS,,ACEFGINST,"FACETING, a surface of a cut gemstone [n]"
,FARFALLES,,AAEFFLLRS,"FARFALLE, pasta in the shape of bow ties [n]"
,FAVOURITE,s,AEFIORTUV,[n -S]
,FERTILISE,drs,EEFIILRST,"[v -D, FERTILISING, -S]"
,FIDDLIEST,,DDEFIILST,"FIDDLY, intricately difficult to handle [adj]"
,FIDDLINGS,,DDFGIILNS,"FIDDLING, the action of playing a violin [n]"
,FIGHTBACK,s,ABCFGHIKT,[n -S]
,FILLETERS,,EEFILLRST,"FILLETER, one who fillets [n]"
,FILMFESTS,,EFFILMSST,"FILMFEST, a festival at which many films are shown [n]"
,FINITISMS,,FIIIMNSST,"FINITISM, the belief that a particular entity is finite [n]"
,FINITISTS,,FIIINSSTT,"FINITIST, an advocate of finitism (the belief that a particular entity is finite) [n]"
,FIREHOSES,,EEFHIORSS,"FIREHOSE, a hose used by firefighters [n]"
,FIREREELS,,EEEFILRRS,"FIREREEL, a fire engine [n]"
,FISHBOATS,,ABFHIOSST,"FISHBOAT, a watercraft used for fishing [n]"
,FLANGINGS,,AFGGILNNS,"FLANGING, the providing of a protecting rim on an object [n]"
,FLATPACKS,,AACFKLPST,"FLATPACK, a package for an integrated circuit [n]"
,FLEXWINGS,,EFGILNSWX,"FLEXWING, a collapsible fabric wing used in hang gliders [n]"
,FLIPPIEST,,EFIILPPST,"FLIPPY, flaring at the bottom [adj]"
,FLIXWEEDS,,DEEFILSWX,"FLIXWEED, a plant of the mustard family [n]"
,FLOODINGS,,DFGILNOOS,"FLOODING, a filling with fluid to excess [n]"
,FLOORPANS,,AFLNOOPRS,"FLOORPAN, the bottom part of the interior of a motor vehicle [n]"
,FLORUITED,,DEFILORTU,FLORUIT [v]
,FLOSSINGS,,FGILNOSSS,"FLOSSING, the act of one that flosses [n]"
,FLOURIEST,,EFILORSTU,"FLOURY, resembling flour [adj]"
,FLUSHINGS,,FGHILNSSU,"FLUSHING, the act of blushing (to become red) [n]"
,FLUTEYEST,,EEFLSTTUY,"FLUTEY, fluty (resembling a flute in sound) [adj]"
,FOGEYDOMS,,DEFGMOOSY,"FOGEYDOM, fogydom (all the fogies) [n]"
,FOGLIGHTS,,FGGHILOST,"FOGLIGHT, a motor-vehicle light used in foggy conditions [n]"
,FOLKLIFES,,EFFIKLLOS,"FOLKLIFE, the traditions, skills, and products of a people [n]"
,FOODERIES,,DEEFIOORS,"FOODERY, a restaurant [n]"
,FOODLANDS,,ADDFLNOOS,"FOODLAND, land for the production of food [n]"
,FOOTLONGS,,FGLNOOOST,"FOOTLONG, a hot dog one foot long [n]"
,FOOTWELLS,,EFLLOOSTW,"FOOTWELL, a space for the feet in a motor vehicle [n]"
,FORCEOUTS,,CEFOORSTU,"FORCEOUT, a play by which a runner in baseball is put out [n]"
,FOUSTIEST,,EFIOSSTTU,"FOUSTY, moldy (musty (having a stale odor)) [adj]"
,FRACKINGS,,ACFGIKNRS,"FRACKING, the injection of fluid into shale beds in order to free up petroleum reserves [n]"
,FRANCISED,,ACDEFINRS,"FRANCISE, to francize (to force to adopt French customs and language) [v]"
,FRANCISES,,ACEFINRSS,"FRANCISE, to francize (to force to adopt French customs and language) [v]"
,FRASCATIS,,AACFIRSST,"FRASCATI, an Italian white wine [n]"
,FREERIDES,,DEEEFIRRS,"FREERIDE, a type of snowboard [n]"
,FREEZINGS,,EEFGINRSZ,"FREEZING, the method by which foods are frozen to preserve them [n]"
,FRENEMIES,,EEEFIMNRS,"FRENEMY, one who pretends to be a friend but is actually an enemy [n]"
,FRINGINGS,,FGGIINNRS,"FRINGING, an ornamental border of loose short strips [n]"
,FRIULANOS,,AFILNORSU,"FRIULANO, a mild Italian cheese [n]"
,FROGGINGS,,FGGGINORS,"FROGGING, a type of ornamental coat fastener [n]"
,FROTHINGS,,FGHINORST,"FROTHING, a layer of foam in a liquid or solid [n]"
,FRUITINGS,,FGIINRSTU,"FRUITING, the production of fruit on a tree [n]"
,FUCKFACES,,ACCEFFKSU,"FUCKFACE, an offensive word [n]"
,FUCKHEADS,,ACDEFHKSU,"FUCKHEAD, an offensive word [n]"
,FUNKSTERS,,EFKNRSSTU,"FUNKSTER, a fan or performer of earthy, bluesy music [n]"
,FURPIECES,,CEEFIPRSU,"FURPIECE, an item of clothing made out of fur [n]"
,FUSARIUMS,,AFIMRSSUU,"FUSARIUM, a disease-causing fungus [n]"
,FUZZBALLS,,ABFLLSUZZ,"FUZZBALL, a ball of fuzz (a fluffy mass of hair or fiber) [n]"
,GADGETIER,,ADEEGGIRT,"GADGETY, GADGET, a mechanical device [adj]"
,GALLOWAYS,,AAGLLOSWY,"GALLOWAY, a breed of hornless cattle [n]"
,GAMEBOOKS,,ABEGKMOOS,"GAMEBOOK, a book of strategies used by a sports team [n]"
,GAMEFOWLS,,AEFGLMOSW,"GAMEFOWL, a gamecock (a rooster trained for fighting) [n]"
,GAMEPLAYS,,AAEGLMPSY,"GAMEPLAY, the way a computer or video game is played [n]"
,GANZFELDS,,ADEFGLNSZ,"GANZFELD, a technique of controlled sensory input used in parapsychology [n]"
,GAOLBIRDS,,ABDGILORS,"GAOLBIRD, jailbird (a prisoner (one that is imprisoned)) [n]"
,GAOLBREAK,s,AABEGKLOR,[n -S]
,GASTROPUB,s,ABGOPRSTU,[n -S]
,GAZUNDERS,,ADEGNRSUZ,"GAZUNDER, to lower the buyer's offer to a seller of a property [v]"
,GEARSTICK,s,ACEGIKRST,[n -S]
,GENIPAPOS,,AEGINOPPS,"GENIPAPO, genipap (a tropical tree) [n]"
,GENLOCKED,,CDEEGKLNO,GENLOCK [v]
,GEOCACHED,,ACCDEEGHO,"GEOCACHE, to search for hidden items by using a Global Positioning System device as part of a game [v]"
,GEOCACHER,s,ACCEEGHOR,[n -S] / GEOCACHE [adj]
,GEOCACHES,,ACCEEGHOS,"GEOCACHE, to search for hidden items by using a Global Positioning System device as part of a game [v]"
,GEYSERING,,EEGGINRSY,"GEYSER, to eject jets of hot water and steam [v]"
,GHETTOISE,ds,EEGHIOSTT,"[v -D, GHETTOISING, -S]"
,GINGERIER,,EEGGIINRR,"GINGERY, having the characteristics of ginger [adj]"
,GINORMOUS,,GIMNOORSU,[adj]
,GIPSYDOMS,,DGIMOPSSY,"GIPSYDOM, gypsydom (the realm of gypsies) [n]"
,GIPSYISMS,,GIIMPSSSY,"GIPSYISM, gypsyism (the mode of life of gypsies) [n]"
,GLAMMIEST,,AEGILMMST,"GLAMMY, glam (characterized by extravagant glamor) [adj]"
,GLOOPIEST,,EGILOOPST,"GLOOPY, resembling gloop (sticky material) [adj]"
,GLUTCHING,,CGGHILNTU,"GLUTCH, to gulp or swallow [v]"
,GLYCEMIAS,,ACEGILMSY,"GLYCEMIA, the presence of glucose in the blood [n]"
,GOALBALLS,,AABGLLLOS,"GOALBALL, a ball thrown at a goal to score [n]"
,GOLDARNED,,ADDEGLNOR,GOLDARN [v]
,GOONERIES,,EEGINOORS,"GOONERY, thuggish behavior [n]"
,GOREFESTS,,EEFGORSST,"GOREFEST, a movie featuring much bloodshed [n]"
,GOSSIPIER,,EGIIOPRSS,"GOSSIPY, inclined to gossip [adj]"
,GOURDFULS,,DFGLORSUU,"GOURDFUL, as much as a hollowed gourd can hold [n]"
,GOURDLIKE,,DEGIKLORU,[adj]
,GOUTWEEDS,,DEEGOSTUW,"GOUTWEED, a plant with white flowers [n]"
,GRAVLAXES,,AAEGLRSVX,"GRAVLAX, cured salmon [n]"
,GRIMOIRES,,EGIIMORRS,"GRIMOIRE, a book of magic spells [n]"
,GRIPINGLY,,GGIILNPRY,in a complaining manner [adv]
,GROUPAGES,,AEGGOPRSU,"GROUPAGE, the arranging of persons or things into groups [n]"
,GRUMBLIER,,BEGILMRRU,"GRUMBLY, given to grumbling [adj]"
,GUARACHES,,AACEGHRSU,"GUARACHE, huarache (a flat-heeled sandal) [n]"
,GUBBINSES,,BBEGINSSU,"GUBBINS, a trivial object [n]"
,GULLERIES,,EEGILLRSU,"GULLERY, a place where gulls (web-footed seabirds) breed [n]"
,GUNSIGHTS,,GGHINSSTU,"GUNSIGHT, a device on a gun for aiming [n]"
,GURDWARAS,,AADGRRSUW,"GURDWARA, a Sikh temple [n]"
,GURGLIEST,,EGGILRSTU,"GURGLY, making bubbling sounds [adj]"
,HABENDUMS,,ABDEHMNSU,"HABENDUM, the part of a deed that limits the extent of ownership [n]"
,HABITUSES,,ABEHISSTU,"HABITUS, bodily build and constitution [n]"
,HACKERIES,,ACEEHIKRS,"HACKERY, dull, unoriginal writing [n]"
,HAGGLINGS,,AGGGHILNS,"HAGGLING, a bargaining about a price [n]"
,HAIRGRIPS,,AGHIIPRRS,"HAIRGRIP, a bobby pin [n]"
,HAIRWINGS,,AGHIINRSW,"HAIRWING, a fishing lure tied with hair [n]"
,HALALLING,,AAGHILLLN,HALAL [v]
,HALLALLED,,AADEHLLLL,HALLAL [v]
,HANDLINES,,ADEHILNNS,"HANDLINE, a fishing line worked by hand [n]"
,HARDCASES,,AACDEHRSS,"HARDCASE, a tough or obstinate person [n]"
,HARDSCAPE,s,AACDEHPRS,[n -S]
,HAREWOODS,,ADEHOORSW,"HAREWOOD, sycamore wood used for furniture [n]"
,HAULBACKS,,AABCHKLSU,"HAULBACK, a line for drawing a cable back [n]"
,HAUNTINGS,,AGHINNSTU,"HAUNTING, a visitation by a ghost [n]"
,HAWEATERS,,AAEEHRSTW,"HAWEATER, a resident of Manitoulin Island, Ontario [n]"
,HEADPONDS,,ADDEHNOPS,"HEADPOND, a pond created behind a dam [n]"
,HEADRAILS,,AADEHILRS,"HEADRAIL, a horizontal rail at the top of something [n]"
,HEADSCARF,,AACDEFHRS,[n HEADSCARVES]
,HEADSHOTS,,ADEHHOSST,"HEADSHOT, a photograph of a person from the neck up [n]"
,HEADWARDS,,AADDEHRSW,HEADWARD [n]
,HELENIUMS,,EEHILMNSU,"HELENIUM, a plant with daisy-like flowers [n]"
,HELISKIED,,DEEHIIKLS,"HELISKI, to ski downhill on mountains reached by helicopter [v]"
,HELITACKS,,ACEHIKLST,"HELITACK, the use of helicopters to fight forest fires [n]"
,HELPDESKS,,DEEHKLPSS,"HELPDESK, a service that helps customers with problems [n]"
,HELPLINES,,EEHILLNPS,"HELPLINE, a telephone service that provides advice [n]"
,HEUCHERAS,,ACEEHHRSU,"HEUCHERA, a North American plant [n]"
,HICCUPIER,,CCEHIIPRU,"HICCUPY, having hiccups (spasmodic inhalations) [adj]"
,HINDMILKS,,DHIIKLMNS,"HINDMILK, breast milk exuded after the first part of a feeding [n]"
,HINDWINGS,,DGHIINNSW,"HINDWING, a posterior wing of an insect [n]"
,HITMAKERS,,AEHIKMRST,"HITMAKER, a musician who produces best-selling records [n]"
,HOGGERIES,,EEGGHIORS,"HOGGERY, a pigpen (a place where pigs are kept) [n]"
,HOMEBUYER,s,BEEHMORUY,[n -S]
,HONOURARY,,AHNOORRUY,[adj]
,HONOUREES,,EEHNOORSU,"HONOUREE, honoree (one that receives an honor) [n]"
,HOTLINERS,,EHILNORST,"HOTLINER, a person who runs a radio phone-in show [n]"
,HOUMMOSES,,EHMMOOSSU,"HOUMMOS, hummus (a paste of pureed chickpeas and tahini) [n]"
,HYPERNYMS,,EHMNPRSYY,"HYPERNYM, a word that denotes a broad category that includes more specific words [n]"
,HYPNOTISE,ds,EHINOPSTY,"[v -D, HYPNOTISING, -S]"
,ICEBOATED,,ABCDEEIOT,"ICEBOAT, to travel in a vehicle that sails on ice [v]"
,ICEFIELDS,,CDEEFIILS,"ICEFIELD, a large area of ice [n]"
,ICEFISHED,,CDEEFHIIS,"ICEFISH, to fish through holes in the ice on a lake or river [v]"
,ICEFISHES,,CEEFHIISS,"ICEFISH, to fish through holes in the ice on a lake or river [v]"
,ICESCAPES,,ACCEEIPSS,"ICESCAPE, landscape covered with ice [n]"
,IGNOBLEST,,BEGILNOST,"IGNOBLE, of low character [adj]"
,ILEITISES,,EEIIILSST,"ILEITIS, inflammation of the ileum [n]"
,IMMATURER,,AEIMMRRTU,IMMATURE [adj]
,IMPOLITER,,EIILMOPRT,"IMPOLITE, not polite [adj]"
,INFILLING,,FGIIILLNN,"INFILL, to fill in (a hole) [v]"
,INFLOWING,s,FGIILNNOW,[n -S]
,INFOTECHS,,CEFHINOST,"INFOTECH, computer technology for distributing data [n]"
,INHUMANER,,AEHIMNNRU,"INHUMAN, lacking desirable human qualities [adj]"
,INNINGSES,,EGIINNNSS,"INNINGS, a part of the game of cricket [n]"
,INOTROPES,,EINOOPRST,"INOTROPE, a drug for controlling the force of muscular contractions [n]"
,INSECURER,,CEEINRRSU,"INSECURE, unsafe (free from danger) [adj]"
,INSIPIDER,,DEIIINPRS,"INSIPID, dull and uninteresting [adj]"
,INSOURCED,,CDEINORSU,"INSOURCE, to procure goods and services from within one's own country [v]"
,INSOURCES,,CEINORSSU,"INSOURCE, to procure goods and services from within one's own country [v]"
,INTEGRINS,,EGIINNRST,"INTEGRIN, a class of animal proteins [n]"
,INUKSHUKS,,HIKKNSSUU,"INUKSHUK, a figure of a human made of stones [n]"
,INVALIDER,,ADEIILNRV,INVALID [adj]
,IRONISING,,GIIINNORS,"IRONISE, to ironize (to mix with nutritional iron) [v]"
,ITEMISERS,,EEIIMRSST,"ITEMISER, itemizer (one that itemizes (to set down the particulars of)) [n]"
,JAILBAITS,,AABIIJLST,"JAILBAIT, an offensive word [n]"
,JANNEYING,,AEGIJNNNY,"JANNEY, to janny (to act as a disguised merrymaker at Christmas) [v]"
,JANNYINGS,,AGIJNNNSY,"JANNYING, the action of one that jannies [n]"
,JARGONIER,,AEGIJNORR,"JARGONY, characterized by the use of obscure language [adj]"
,JEALOUSER,,AEEJLORSU,"JEALOUS, resentful of another's advantages [adj]"
,JEHADISTS,,ADEHIJSST,"JEHADIST, jihadist (a jihadi (a Muslim who participates in a jihad)) [n]"
,JIHADISTS,,ADHIIJSST,"JIHADIST, a jihadi (a Muslim who participates in a jihad) [n]"
,JOCUNDEST,,CDEJNOSTU,"JOCUND, cheerful (full of spirits) [adj]"
,JOUSTINGS,,GIJNOSSTU,"JOUSTING, JOUST, to engage in personal combat [n]"
,JUDDERIER,,DDEEIJRRU,"JUDDERY, vibrating [adj]"
,JUDICARES,,ACDEIJRSU,"JUDICARE, legal aid whereby lawyers are paid by the government for services to poor clients [n]"
,JUMARRING,,AGIJMNRRU,"JUMAR, to climb with ropes using a type of clamp [v]"
,JUMPROPES,,EJMOPPRSU,"JUMPROPE, a rope used in children's games for jumping [n]"
,JUMPSHOTS,,HJMOPSSTU,"JUMPSHOT, a type of shot in basketball [n]"
,JUNGLISTS,,GIJLNSSTU,"JUNGLIST, a performer of a style of fast dance music [n]"
,JUNIORING,,GIIJNNORU,JUNIOR [v]
,KABLOONAS,,AABKLNOOS,"KABLOONA, a person who is not an Inuit [n]"
,KABLOONAT,,AABKLNOOT,"KABLOONA, a person who is not an Inuit [n]"
,KABOODLES,,ABDEKLOOS,"KABOODLE, caboodle (a collection) [n]"
,KAFUFFLES,,AEFFFKLSU,"KAFUFFLE, a disturbance or commotion [n]"
,KAZACHOCS,,AACCHKOSZ,"KAZACHOC, kazachok (a Russian folk dance) [n]"
,KENDOISTS,,DEIKNOSST,"KENDOIST, one skilled in kendo [n]"
,KERBSIDES,,BDEEIKRSS,"KERBSIDE, curbside [n]"
,KEYFRAMES,,AEEFKMRSY,"KEYFRAME, the frozen image in a sequence of animation [n]"
,KINESISES,,EEIIKNSSS,"KINESIS, a type of movement (the act of moving (to change from one position to another)) [n]"
,KISKADEES,,ADEEIKKSS,"KISKADEE, a large flycatcher [n]"
,KITSCHIER,,CEHIIKRST,"KITSCHY, garish; gaudy [adj]"
,KNAIDLACH,,AACDHIKLN,"KNAIDEL, a type of dumpling (a ball of dough cooked with stew or soup) [n]"
,KNEIDLACH,,ACDEHIKLN,"KNEIDEL, knaidel (a type of dumpling (a ball of dough cooked with stew or soup)) [n]"
,KNITBONES,,BEIKNNOST,"KNITBONE, a comfrey (a coarse herb) [n]"
,KNOCKBACK,s,ABCCKKKNO,[n -S]
,KNOTHEADS,,ADEHKNOST,"KNOTHEAD, a stupid person [n]"
,KOLBASSAS,,AABKLOSSS,"KOLBASSA, kielbasa (a smoked sausage) [n]"
,LABELMATE,s,AABEELLMT,[n -S]
,LABRUSCAS,,AABCLRSSU,"LABRUSCA, a fox grape [n]"
,LACRYMALS,,AACLLMRSY,"LACRYMAL, lacrimal (a small bone of the eye socket) [n]"
,LACTITOLS,,ACILLOSTT,"LACTITOL, an artificial sweetener [n]"
,LAKEFILLS,,AEFIKLLLS,"LAKEFILL, an area of land built by filling a lake [n]"
,LAKEHEADS,,AADEEHKLS,"LAKEHEAD, the shore of a lake farthest from the outlet [n]"
,LAKELANDS,,AADEKLLNS,"LAKELAND, an area with many lakes [n]"
,LAKEWARDS,,AADEKLRSW,LAKEWARD [n]
,LAMBSWOOL,s,ABLLMOOSW,[n -S]
,LAVATERAS,,AAAELRSTV,"LAVATERA, a plant of the mallow family [n]"
,LEAFMOLDS,,ADEFLLMOS,"LEAFMOLD, soil composed mostly of decayed leaves [n]"
,LEAFROLLS,,AEFLLLORS,"LEAFROLL, a virus disease of potatoes [n]"
,LEAVENERS,,AEEELNRSV,"LEAVENER, one that has a tempering influence [n]"
,LEMONIEST,,EEILMNOST,"LEMONY, LEMON, a citrus fruit [adj]"
,LESBIGAYS,,ABEGILSSY,"LESBIGAY, a lesbian, bisexual, or male homosexual [n]"
,LEUKAEMIC,,ACEEIKLMU,[adj]
,LEXIGRAMS,,AEGILMRSX,"LEXIGRAM, a symbol representing a word [n]"
,LIATRISES,,AEIILRSST,"LIATRIS, an herb with tubular flowers [n]"
,LICHGATES,,ACEGHILST,"LICHGATE, lychgate (a roofed gateway to a churchyard) [n]"
,LIFEBELTS,,BEEFILLST,"LIFEBELT, a life preserver shaped like a belt [n]"
,LIFEBUOYS,,BEFILOSUY,"LIFEBUOY, a life preserver shaped like a ring [n]"
,LIMONIUMS,,IILMMNOSU,"LIMONIUM, a sea plant of brightly colored funnel-like flowers [n]"
,LINCTUSES,,CEILNSSTU,"LINCTUS, a syrupy medicine [n]"
,LINEMATES,,AEEILMNST,"LINEMATE, a hockey player on the same line as another [n]"
,LINTELLED,,DEEILLLNT,LINTEL [v]
,LIPLINERS,,EIILLNPRS,"LIPLINER, a cosmetic applied to outline the lips [n]"
,LIPOGRAMS,,AGILMOPRS,"LIPOGRAM, a writing in which a certain letter of the alphabet is omitted [n]"
,LIQUIDIER,,DEIIILQRU,"LIQUIDY, LIQUID, a substance that flows freely [adj]"
,LISTBOXES,,BEILOSSTX,"LISTBOX, a box on a computer screen that contains a list of options [n]"
,LISTSERVS,,EILRSSSTV,"LISTSERV, an email system that automatically sends messages to all subscribers [n]"
,LIVEWARES,,AEEILRSVW,"LIVEWARE, working personnel [n]"
,LIVEWELLS,,EEILLLSVW,"LIVEWELL, a container of water in a boat for keeping fish alive [n]"
,LOBBYINGS,,BBGILNOSY,"LOBBYING, the soliciting of support of an influential person [n]"
,LOBTAILED,,ABDEILLOT,"LOBTAIL, (of a whale) to slap its tail against the surface of the water [v]"
,LOCAVORES,,ACELOORSV,"LOCAVORE, one who eats foods grown locally when possible [n]"
,LOIASISES,,AEIILOSSS,"LOIASIS, a tropical African disease [n]"
,LONICERAS,,ACEILNORS,"LONICERA, a shrub with fragrant flowers [n]"
,LOOKITING,,GIIKLNOOT,LOOKIT [v]
,LOSINGEST,,EGILNOSST,LOSING [adj]
,LOUNGIEST,,EGILNOSTU,"LOUNGY, suitable for lounging [adj]"
,LOWBUSHES,,BEHLOSSUW,"LOWBUSH, a bush with sweet blueberries [n]"
,LUSTRINES,,EILNRSSTU,"LUSTRINE, lustring (a glossy silk fabric) [n]"
,LYCHGATES,,ACEGHLSTY,"LYCHGATE, a roofed gateway to a churchyard [n]"
,LYCOPSIDS,,CDILOPSSY,"LYCOPSID, a type of club moss [n]"
,MACABREST,,AABCEMRST,"MACABRE, gruesome (repugnant) [adj]"
,MACADAMED,,AAACDDEMM,[adj]
,MACCHIATO,s,AACCHIMOT,[n -S]
,MACROPODS,,ACDMOOPRS,"MACROPOD, a plant-eating marsupial mammal [n]"
,MAILSHOTS,,AHILMOSST,"MAILSHOT, something mailed to many people at one time [n]"
,MALONATES,,AAELMNOST,"MALONATE, a salt or ester of malonic acid [n]"
,MAMATEEKS,,AAEEKMMST,"MAMATEEK, a type of wigwam (a Native American dwelling) [n]"
,MAMMARIES,,AAEIMMMRS,MAMMARY [n]
,MANDORLAS,,AADLMNORS,"MANDORLA, a pointed oval figure [n]"
,MANFULLER,,AEFLLMNRU,"MANFUL, courageous [adj]"
,MANGETOUT,s,AEGMNOTTU,[n -S]
,MANSCAPED,,AACDEMNPS,"MANSCAPE, to trim or shave a man's body hair to enhance appearance [v]"
,MANSCAPES,,AACEMNPSS,"MANSCAPE, to trim or shave a man's body hair to enhance appearance [v]"
,MANUCODES,,ACDEMNOSU,"MANUCODE, a bird of paradise [n]"
,MARVELERS,,AEELMRRSV,"MARVELER, one who marvels [n]"
,MAXIBOATS,,AABIMOSTX,"MAXIBOAT, a large racing yacht [n]"
,MAXIMANDS,,AADIMMNSX,"MAXIMAND, something that is to be maximized [n]"
,MEAGEREST,,AEEEGMRST,"MEAGER, deficient in quantity or quality [adj]"
,MEATHOOKS,,AEHKMOOST,"MEATHOOK, a hook on which to hang meat [n]"
,MECHANISE,ds,ACEEHIMNS,"[v -D, MECHANISING, -S]"
,MEGAMALLS,,AAEGLLMMS,"MEGAMALL, a very large shopping mall [n]"
,MEGASTORE,s,AEEGMORST,[n -S]
,MELODIONS,,DEILMNOOS,"MELODION, melodeon (a small accordion (a bellows-driven musical instrument)) [n]"
,MESCALINS,,ACEILMNSS,"MESCALIN, mescaline (a hallucinogenic compound) [n]"
,MESOSAURS,,AEMORSSSU,"MESOSAUR, an extinct aquatic reptile [n]"
,METADATAS,,AAADEMSTT,"METADATA, a set of data that gives information about other data [n]"
,METANOIAS,,AAEIMNOST,"METANOIA, a spiritual conversion [n]"
,METHANALS,,AAEHLMNST,"METHANAL, formaldehyde [n]"
,MICROBLOG,s,BCGILMOOR,[n -S]
,MICROCARS,,ACCIMORRS,"MICROCAR, a very small car [n]"
,MIDSEASON,,ADEIMNOSS,[adj]
,MIDWATERS,,ADEIMRSTW,"MIDWATER, the middle portion vertically of a body of water [n]"
,MILLIAMPS,,AIILLMMPS,"MILLIAMP, one thousandth of an ampere [n]"
,MILOMETER,s,EEILMMORT,[n -S]
,MIMULUSES,,EILMMSSUU,"MIMULUS, a flowering plant [n]"
,MINDFUCKS,,CDFIKMNSU,"MINDFUCK, an offensive word [n]"
,MINGINESS,,EGIIMNNSS,[n -ES]
,MINIGOLFS,,FGIILMNOS,"MINIGOLF, a game similar to golf played on a small obstacle course [n]"
,MINNEOLAS,,AEILMNNOS,"MINNEOLA, a reddish tangelo [n]"
,MINUETING,,EGIIMNNTU,"MINUET, to dance a minuet (a slow, stately dance) [v]"
,MISCUEING,,CEGIIMNSU,"MISCUE, to make a faulty stroke in billiards [v]"
,MISKEYING,,EGIIKMNSY,"MISKEY, to key into a machine incorrectly [v]"
,MITIGANTS,,AGIIMNSTT,"MITIGANT, something that mitigates [n]"
,MIZZLIEST,,EIILMSTZZ,"MIZZLY, characterized by a fine rain [adj]"
,MODALISMS,,ADILMMOSS,"MODALISM, the doctrine that members of the Trinity are not distinct persons but modes of divine revelation [n]"
,MODALISTS,,ADILMOSST,"MODALIST, an adherent of modalism [n]"
,MONAMINES,,AEIMMNNOS,"MONAMINE, an amine containing only one amino group [n]"
,MONIKERED,,DEEIKMNOR,[adj]
,MONKEYPOX,,EKMNOOPXY,[n -ES]
